title,price,manufacturing_year,mileage,color,fuel,hp,eurostandard,cubic_capacity,gearbox,type,region,url
Mercedes-Benz GLE 450AMG COUPE Дистроник Камери360 Обдухване Keyless,69 990 лв.,април 2016 г.,153 000,Черен,Бензинов,367,6,3000,автоматична,Джип,София,https://www.mobile.bg/obiava-21739610929678661-mercedes-benz-gle-450amg-coupe-distronik-kameri360-obduhvane-keyless
Mercedes-Benz GLE 350d Coupe-AMG Line-9G-tronic-Harmon Kardon,69 999 лв.,януари 2017 г.,189 000,Бял,Дизелов,258,,,автоматична,Джип,Пазарджик,https://www.mobile.bg/obiava-21732691514860984-mercedes-benz-gle-350d-coupe-amg-line-9g-tronic-harmon-kardon
Mercedes-Benz GLE 43 AMG COUPE Панорама Дистр.Head-up Keyless Cam360,78 990 лв.,октомври 2017 г.,127 000,Син,Бензинов,367,6,3000,автоматична,Джип,София,https://www.mobile.bg/obiava-11737682127414901-mercedes-benz-gle-43-amg-coupe-panorama-distr-head-up-keyless-cam360
Mercedes-Benz GLE 250 d,45 500 лв.,януари 2015 г.,178 000,Черен,Дизелов,204,,2143,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21705057744409616-mercedes-benz-gle-250-d
Mercedes-Benz GLE 350 4Matic AMG * ТОП СЪСТОЯНИЕ*,46 000 лв.,юли 2016 г.,251 700,Сив,Бензинов,307,5,3500,автоматична,Джип,София,https://www.mobile.bg/obiava-21725807501288193-mercedes-benz-gle-350-4matic-amg-top-sastoyanie
Mercedes-Benz GLE 350 AMG/PANORAMA/360-kamera/KylessGo/СОБСТВЕН ЛИЗИНГ,46 000 лв.,септември 2019 г.,202 000,Сребърен,Дизелов,258,6,3500,автоматична,Джип,Пловдив,https://www.mobile.bg/obiava-21737377415345039-mercedes-benz-gle-350-amg-panorama-360-kamera-kylessgo-sobstven-lizing
Mercedes-Benz GLE 350 4Matic* 63 AMG Optic* CAMERA,49 900 лв.,декември 2016 г.,166 000,Бял,Дизелов,258,6,,автоматична,Джип,София,https://www.mobile.bg/obiava-21709150903677660-mercedes-benz-gle-350-4matic-63-amg-optic-camera
Mercedes-Benz GLE 350 AMG LINE/9G/GERMANY/ПОДГРЕВ/SIGN ASSYST/AUTO H/LIZ,49 900 лв.,май 2016 г.,180 878,Черен,Дизелов,258,6,,автоматична,Джип,София,https://www.mobile.bg/obiava-21732286564113018-mercedes-benz-gle-350-amg-line-9g-germany-podgrev-sign-assyst-auto-h-liz
Mercedes-Benz GLE 350 * AMG* BI TURBO * 4 matic*,49 900 лв.,януари 2016 г.,171 900,Бял,Бензинов,302,5,3498,автоматична,Джип,Бургас,https://www.mobile.bg/obiava-21737738778428308-mercedes-benz-gle-350-amg-bi-turbo-4-matic
"Mercedes-Benz GLE 350 3, 5 CDI 4Matic",54 000 лв.,януари 2016 г.,183 000,Кафяв,Дизелов,258,6,3500,автоматична,Джип,София,https://www.mobile.bg/obiava-21738674210760028-mercedes-benz-gle-350-3-5-cdi-4matic
