title,price,mileage,fuel,hp,type,region,is_amg,color,age
mercedes-benz gle 450amg coupe дистроник камери360 обдухване keyless,69990,153000,gasoline,367.0,coupe,sofia,1,black,9
mercedes-benz gle 350d coupe-amg line-9g-tronic-harmon kardon,69999,189000,diesel,258.0,coupe,pazardzhik,1,white,8
mercedes-benz gle 43 amg coupe панорама дистр.head-up keyless cam360,78990,127000,gasoline,367.0,coupe,sofia,1,blue,8
mercedes-benz gle 250 d,45500,178000,diesel,204.0,jeep,plovdiv,0,black,10
mercedes-benz gle 350 4matic amg * топ състояние*,46000,251700,gasoline,307.0,jeep,sofia,1,gray,9
mercedes-benz gle 350 amg/panorama/360-kamera/kylessgo/собствен лизинг,46000,202000,diesel,258.0,jeep,plovdiv,1,silver,6
mercedes-benz gle 350 4matic* 63 amg optic* camera,49900,166000,diesel,258.0,jeep,sofia,1,white,9
mercedes-benz gle 350 amg line/9g/germany/подгрев/sign assyst/auto h/liz,49900,180878,diesel,258.0,jeep,sofia,1,black,9
mercedes-benz gle 350 * amg* bi turbo * 4 matic*,49900,171900,gasoline,302.0,jeep,burgas,1,white,9
"mercedes-benz gle 350 3, 5 cdi 4matic",54000,183000,diesel,258.0,jeep,sofia,0,brown,9
mercedes-benz gle 350 6.3amg/germany/panorama/подгрев/airmatic/led/f1/li,57000,185574,diesel,258.0,jeep,sofia,1,black,9
mercedes-benz gle 350 amg::designo::9g tronik::panorama:distronik plus,57900,196067,diesel,258.0,jeep,plovdiv,1,light gray,9
mercedes-benz gle 350 d 4matic,59999,142123,diesel,258.0,jeep,sofia,0,black,10
mercedes-benz gle 350 amg 9g лизинг,61999,210000,diesel,258.0,jeep,burgas,1,black,8
mercedes-benz gle 350 amg,62900,151221,diesel,258.0,coupe,pazardzhik,1,white,10
mercedes-benz gle 350 coupe= amg premium-4matic= 9gtronic= black edition,63663,220000,diesel,258.0,coupe,gabrovo,1,brown,7
mercedes-benz gle 350 amg premium подгрев = обдухване,64999,169000,diesel,258.0,coupe,sofia,1,black,8
mercedes-benz gle 350 d executive 4m,65800,152837,diesel,258.0,jeep,burgas,0,gray,7
mercedes-benz gle 350 amg-black-edition-9g-tronic-360-кам-панорама-с.кни,65999,189000,diesel,258.0,jeep,plovdiv,1,black,9
mercedes-benz gle 350 kupe amg optica/start stop/edition/собствен лизинг,67000,178521,diesel,258.0,jeep,plovdiv,1,black,7
mercedes-benz gle 350 kupe amg optica/start stop/edition/собствен лизинг,67000,178521,diesel,258.0,coupe,plovdiv,1,black,7
mercedes-benz gle 350 kupe amg optica/start stop/edition/собствен лизинг,69000,179554,diesel,258.0,jeep,plovdiv,1,black,8
mercedes-benz gle 350 kupe amg optica/start stop/edition/собствен лизинг,69000,179545,diesel,258.0,coupe,plovdiv,1,black,8
mercedes-benz gle 350 coupe 350/4-matic/63amg/9g-tronic/,71999,177000,diesel,258.0,coupe,pazardzhik,1,black,7
mercedes-benz gle 350 coupe 350/4-matic/63amg/9g-tronic/,71999,177000,diesel,258.0,coupe,pazardzhik,1,black,7
mercedes-benz gle 350 amg full max,71999,174000,diesel,258.0,coupe,plovdiv,1,black,8
mercedes-benz gle 350 cdi amg paket 4-matic панорама,73999,173929,diesel,258.0,jeep,haskovo,1,white,8
mercedes-benz gle 350,78900,237000,diesel,258.0,jeep,plovdiv,0,white,7
mercedes-benz gle 350 d* amg* exclusive* panorama* 360cam* harman* full,81999,163656,diesel,258.0,jeep,haskovo,1,white,8
mercedes-benz gle 350 d 4matic amg line night package,98999,178306,diesel,272.0,jeep,sofia,1,white,6
mercedes-benz gle 350 300d* 4 matic* airmatic* 2xamg* led* 360* head up,83900,129000,diesel,245.0,jeep,sofia,1,black,6
mercedes-benz gle 350 d 4matic amg line,104999,158172,diesel,272.0,jeep,sofia,1,black,5
mercedes-benz gle 350 6+ 1* amg* pano* keyless* burmester* acc* 21,119000,76000,diesel,272.0,jeep,sofia,1,black,5
mercedes-benz gle 350 silver star,136000,42000,diesel,272.0,jeep,veliko tarnovo,0,silver,4
mercedes-benz gle 350 d coupe 4matic amg line,113999,124379,diesel,272.0,coupe,sofia,1,black,4
mercedes-benz gle 350 e/coupe/4matic/burmester/ambient/virtual,119900,92500,plug-in hybrid,333.0,coupe,sofia,0,white,3
mercedes-benz gle 350 de#facelift2024#amg#airmat#обдух#pano,189999,4000,plug-in hybrid,320.0,jeep,stara zagora,1,dark gray,1
mercedes-benz gle 400 amg 9g 4matic 333кс night package,63900,53000,gasoline,333.0,jeep,pleven,1,light gray,7
mercedes-benz gle 400 d amg 330hp пано нави дистроник 360',89990,161232,diesel,330.0,jeep,pernik,1,light gray,5
mercedes-benz gle 400 airmatic* 2xamg* 360* burmester*,103900,89700,diesel,330.0,jeep,sofia,1,black,5
mercedes-benz gle 400 4matic amg 53 пакет + active sound,125000,97500,diesel,330.0,jeep,shumen,1,dark gray,3
mercedes-benz gle 400 amg/hud/burmester/6+ 1/ambient,109900,114000,diesel,330.0,jeep,sofia,1,brown,6
mercedes-benz gle 400 amg/hud/burmester/6+ 1/ambient,109900,114000,diesel,330.0,jeep,varna,1,brown,6
mercedes-benz gle 400 amg night топ състояние,134500,124000,diesel,340.0,jeep,plovdiv,1,black,3
mercedes-benz gle 400,135000,96544,diesel,330.0,jeep,sofia,0,dark gray,5
mercedes-benz gle 400 #brabus#e-abc#pano#designo#softcl#burm#обдух#360*,139999,98000,diesel,330.0,jeep,stara zagora,0,black,5
mercedes-benz gle 43 amg coupe 43 amg/133911км,72500,130000,gasoline,367.0,coupe,sofia,1,black,8
mercedes-benz gle 43 amg 4matic/9g/pano/360cam/distr+ /390кс/132000km,74000,132900,gasoline,390.0,coupe,sofia,1,black,8
mercedes-benz gle 43 amg mercedes gle43 amg* b&o* cam360* panorama* distron,76699,175000,gasoline,400.0,jeep,sofia,1,black,7
mercedes-benz gle 43 amg 3.0 v6 biturbo,94800,102000,gasoline,390.0,jeep,plovdiv,1,black,8
mercedes-benz gle 450 6+ 1 пълна история,99000,111000,gasoline,367.0,jeep,varna,0,white,4
mercedes-benz gle 450 4m* distr* hud* pano* burmester 24хил км!,125999,23803,hybrid,370.0,jeep,ruse,0,white,5
mercedes-benz gle 500 -amg-full-panorama-keyless-cam360-distronic-,53700,82000,gasoline,455.0,jeep,plovdiv,1,black,9
mercedes-benz gle 500 e amg 4matic plug-in hybrid full  лизинг/бартер,59800,201000,plug-in hybrid,333.0,jeep,dupnitsa,1,black,9
mercedes-benz gle 500 очакван внос mercedes gle500 amg coupe,73699,179000,gasoline,455.0,coupe,sofia,1,black,7
mercedes-benz gle 53 4matic amg 360 burmester panorama head up собствен лизинг,109900,175000,gasoline,435.0,jeep,sofia,1,green,5
mercedes-benz gle 53 4matic amg 2021,119000,88300,gasoline,429.0,jeep,sofia,1,blue,4
mercedes-benz gle 53 4matic + amg eq boost exclusive,129900,156567,gasoline,435.0,jeep,sofia,1,black,5
mercedes-benz gle 53 4matic amg coupe eq boost exclusive night package,144999,109581,gasoline,435.0,coupe,sofia,1,gray,5
mercedes-benz gle 53 4matic amg,121900,63000,gasoline,435.0,jeep,plovdiv,1,black,5
mercedes-benz gle 53 4matic + coupe- panorama - burmester - cam360 - keyless-,157700,49000,gasoline,435.0,coupe,plovdiv,0,black,3
mercedes-benz gle 53 4matic,177000,77551,gasoline,435.0,jeep,sofia,0,black,4
mercedes-benz gle 53 4matic amg/burmester/hud/pano/обдухване/multibeam led/360,149900,94000,gasoline,457.0,coupe,varna,1,black,5
mercedes-benz gle 53 4matic coupe night-paket,189500,41707,gasoline,429.0,coupe,sofia,0,black,3
mercedes-benz gle 63 s amg дистроник#панорама#обдухване,85000,188000,gasoline,585.0,jeep,stara zagora,1,black,10
mercedes-benz gle 63 s amg 585 k.c.,87000,95500,gasoline,585.0,jeep,sofia,1,white,8
mercedes-benz gle 63 s amg * stage 2* 700кс,94999,175698,gasoline,585.0,jeep,haskovo,1,white,9
mercedes-benz gle 63 s amg 4matic coupe - фолиран,99800,115000,gasoline,585.0,coupe,sofia,1,black,8
mercedes-benz gle 63 s amg 4matic/bang&olufsen/обдухване/камера/side assist,99800,132500,gasoline,585.0,jeep,sofia,1,white,10
mercedes-benz gle 63 s amg distr#обдух#pano#360* cam#гаранция до 03-2027,209999,8500,gasoline,513.0,jeep,stara zagora,1,dark gray,2
mercedes-benz gle coupe full max 9g tronik,65000,158000,diesel,258.0,coupe,sofia,0,black,8
mercedes-benz gle coupe kupe amg optica/start stop/edition/собствен лизинг,67000,178521,diesel,258.0,coupe,plovdiv,1,black,7
mercedes-benz gle coupe kupe amg optica/start stop/edition/собствен лизинг,69000,179545,diesel,258.0,coupe,plovdiv,1,black,8
mercedes-benz gle coupe 350d-amg line-9g-tronic-harmon kardon,69999,189000,diesel,258.0,coupe,pazardzhik,1,white,8
mercedes-benz gle coupe 350d#9g-tronic#amg#360* camera#h&k#,69999,178000,diesel,258.0,coupe,stara zagora,1,white,9
mercedes-benz gle coupe amg full max,71999,174000,diesel,258.0,coupe,plovdiv,1,black,8
mercedes-benz gle coupe 350d#amg#panorama#soft-close#camera#carbon#h&k,72999,160400,diesel,258.0,coupe,stara zagora,1,dark gray,8
mercedes-benz gle coupe designo#b&o#softcl#3xtv#panorama#обдух#keyless,77999,176000,diesel,258.0,coupe,stara zagora,0,white,8
mercedes-benz gle coupe,78900,237000,diesel,258.0,coupe,plovdiv,0,white,7
mercedes-benz gle coupe #amg#panorama#keyless#h&k#360* camera#98tkm,86999,98000,diesel,258.0,coupe,stara zagora,1,white,8
mercedes-benz gle coupe 350d 4matic amg line,113999,124379,diesel,272.0,coupe,sofia,1,black,4
mercedes-benz gle 350d amg,73500,159000,diesel,258.0,jeep,sofia,1,white,9
mercedes-benz gle 350,83800,187000,diesel,265.0,jeep,plovdiv,0,black,9
mercedes-benz gle 350,87900,190000,diesel,258.0,jeep,plovdiv,0,gray,9
mercedes-benz gle amg/4matic/300d/burmester/88000km/2020г.,95000,88000,diesel,245.0,jeep,sofia,1,green,5
